date,project,amount_invested,buy_price,tokens
2026-02-24,NOCK,1000.0,0.00736,135895.0
2026-02-24,NOCK,1000.0,0.00756,131538.0
2026-02-23,TAO,13601.0,172.0,78.84
2026-02-23,NOCK,4914.0,0.009,544587.0
2026-02-03,NOCK,4913.0,0.0108,458799.0
2026-01-26,NOCK,12064.0,0.0188,639325.0
2026-01-01,NOCK,4500.0,0.062,54000.0
2026-01-14,NOCK,10725.0,0.0323,332090.0
